PvOutput,airTemp,humidity,insolation,windSpeed
0.059054,0.64689,0.48781,0.07232,0.20558
0.04533,0.64183,0.50776,0.074363,0.25
0.022298,0.6289,0.55078,0.030071,0.24587
0.017732,0.61934,0.58167,0.033824,0.17459
0.0086893,0.61091,0.5994,0.01802,0.17665
0.037007,0.42901,0.79625,0.031941,0.14566
0.0661,0.43379,0.78686,0.054972,0.1219
0.065602,0.4397,0.78138,0.050467,0.1436
0.078607,0.44391,0.77474,0.060123,0.13636
0.12391,0.45094,0.76952,0.073591,0.18079
0.17263,0.45685,0.76209,0.10531,0.16942
0.17806,0.46556,0.75023,0.13071,0.13946
0.29391,0.47624,0.73641,0.24363,0.17975
0.13844,0.48665,0.72181,0.11391,0.15393
0.097338,0.48861,0.72911,0.074197,0.095041
0.14163,0.49649,0.72794,0.10615,0.088843
0.13684,0.50548,0.72233,0.10608,0.055785
0.13693,0.51532,0.7209,0.10836,0.1126
0.16144,0.52123,0.72181,0.11728,0.15806
0.29566,0.52825,0.7089,0.20419,0.15806
0.24968,0.53838,0.68687,0.20563,0.14669
0.16181,0.54259,0.67775,0.12794,0.13017
0.15259,0.53978,0.68896,0.11325,0.17872
0.19491,0.53303,0.72011,0.13182,0.17872
0.20817,0.5291,0.74997,0.14407,0.1374
0.22443,0.52938,0.74606,0.15133,0.076446
0.38993,0.53697,0.73524,0.25982,0.094008
0.44161,0.54821,0.72285,0.32613,0.11364
0.39301,0.55609,0.70356,0.29886,0.125
0.33162,0.56227,0.69847,0.26924,0.10537
0.27387,0.56424,0.69352,0.211,0.1157
0.29884,0.56761,0.69522,0.22171,0.16839
0.23911,0.57211,0.69026,0.21239,0.14256
0.11437,0.57239,0.6887,0.091445,0.095041
0.09521,0.56677,0.70721,0.083733,0.099174
0.15625,0.56368,0.7209,0.10111,0.063017
0.23221,0.56986,0.68101,0.16959,0.10021
0.25235,0.57745,0.67371,0.17396,0.10744
0.22901,0.5783,0.67227,0.16514,0.1157
0.22556,0.58055,0.67423,0.16615,0.067149
0.13511,0.58842,0.64789,0.11492,0.070248
0.099276,0.58532,0.65676,0.08901,0.092975
0.070695,0.5738,0.70056,0.050134,0.13946
0.079606,0.55693,0.75284,0.063949,0.066116
0.068816,0.55131,0.75362,0.046681,0.13636
0.16279,0.55468,0.7368,0.094772,0.18802
0.21745,0.56283,0.71425,0.15295,0.19112
0.18139,0.56565,0.68479,0.13526,0.20248
0.17116,0.56986,0.65963,0.1287,0.16426
0.17007,0.57239,0.65285,0.12706,0.16942
0.1679,0.57352,0.6359,0.1255,0.17149
0.16526,0.57577,0.62247,0.11945,0.17252
0.11566,0.57914,0.6011,0.09589,0.21281
0.085418,0.56621,0.63668,0.07065,0.27789
0.076846,0.53247,0.7149,0.060342,0.20868
0.08379,0.52094,0.76079,0.062784,0.13946
0.055796,0.5111,0.80524,0.04732,0.15702
0.035201,0.49789,0.87902,0.026518,0.13946
0.056618,0.49339,0.9223,0.04326,0.079545
0.023105,0.49199,0.93547,0.022186,0.1343
0.017938,0.48777,0.93756,0.017628,0.13946
0.011273,0.48861,0.94056,0.012311,0.12707
0.0094376,0.48918,0.94108,0.0099816,0.067149
0.0047561,0.48833,0.94042,0.0075262,0.084711
0.0010704,0.48918,0.9416,0.0048311,0.090909
0.038459,0.45572,0.9429,0.029606,0.11157
0.060934,0.45825,0.93899,0.046042,0.1374
0.066776,0.45938,0.93234,0.051252,0.14256
0.093228,0.46331,0.92439,0.059617,0.10537
0.206,0.46837,0.91201,0.14547,0.1095
0.2189,0.4813,0.88659,0.18399,0.14463
0.222,0.48946,0.85256,0.15999,0.1343
0.27604,0.50014,0.82766,0.20675,0.084711
0.29034,0.51054,0.79781,0.22392,0.13326
0.30705,0.52038,0.77213,0.2466,0.13533
0.42643,0.53107,0.74019,0.30932,0.14773
0.44492,0.53838,0.72324,0.30899,0.16322
0.38174,0.54315,0.7106,0.22863,0.12293
0.37783,0.55384,0.69665,0.30677,0.09814
0.29144,0.56199,0.67358,0.20386,0.15186
0.15203,0.56424,0.65415,0.1362,0.12603
0.25627,0.56593,0.614,0.18505,0.18182
0.30118,0.57267,0.59093,0.22576,0.18802
0.27493,0.57689,0.57867,0.21349,0.19421
0.66361,0.58926,0.56133,0.50191,0.19318
0.43511,0.59882,0.52887,0.36401,0.16219
0.28876,0.59179,0.53748,0.19031,0.21694
0.5143,0.59348,0.53917,0.38737,0.2376
0.49621,0.59685,0.53083,0.35347,0.17252
0.55965,0.60472,0.52118,0.42435,0.22004
0.32689,0.59854,0.51558,0.26757,0.27376
0.73419,0.59826,0.51089,0.44419,0.26446
0.45673,0.60641,0.50254,0.4082,0.20145
0.52788,0.60304,0.50072,0.29541,0.22521
0.54107,0.60304,0.49889,0.28942,0.2438
0.37463,0.59826,0.4972,0.23772,0.28099
0.65254,0.60304,0.49381,0.42856,0.26446
0.7736,0.62412,0.47204,0.59591,0.2562
0.7517,0.6244,0.46539,0.58638,0.22107
0.50837,0.61962,0.46513,0.48002,0.2376
0.40329,0.60838,0.47008,0.22039,0.28719
0.536,0.60557,0.46904,0.35358,0.23037
0.28818,0.61428,0.46904,0.26419,0.24174
0.46253,0.6036,0.48586,0.25443,0.31405
0.44094,0.60697,0.47321,0.38739,0.34194
0.39222,0.60697,0.46761,0.27927,0.19008
0.53287,0.61372,0.46317,0.3491,0.21384
0.38078,0.61091,0.46917,0.23358,0.19525
0.39073,0.61203,0.46487,0.28154,0.22521
0.36108,0.59966,0.47282,0.21267,0.20971
0.432,0.6081,0.45757,0.32835,0.28822
0.36985,0.61006,0.45548,0.29508,0.21384
0.16081,0.6036,0.45718,0.1357,0.2469
0.31277,0.60051,0.46578,0.25664,0.2407
0.26304,0.605,0.46617,0.23103,0.20041
0.20052,0.59798,0.46187,0.16293,0.28099
0.084009,0.58898,0.4706,0.074297,0.2438
0.12897,0.58617,0.47556,0.1158,0.27169
0.050996,0.58279,0.47412,0.043966,0.17562
0.052243,0.57548,0.48625,0.041923,0.15702
0.052728,0.57352,0.48911,0.046648,0.19112
0.026437,0.57267,0.48677,0.028787,0.21798
0.026114,0.56902,0.48872,0.028295,0.20971
0.029285,0.56789,0.48898,0.03244,0.17355
0.010451,0.56424,0.49537,0.015964,0.16322
0.0016426,0.4605,0.8158,0.0045583,0.16322
0.0034341,0.46725,0.80263,0.0055831,0.15186
0.0068843,0.46697,0.80055,0.0077058,0.11777
0.013945,0.46556,0.79598,0.012876,0.054752
0.014224,0.4664,0.79468,0.015092,0.06095
0.032411,0.46669,0.79533,0.023577,0.1126
0.068538,0.47062,0.78621,0.053907,0.125
0.053418,0.47399,0.76887,0.045916,0.13843
0.054709,0.47849,0.74032,0.050088,0.16529
0.017865,0.48074,0.72311,0.017747,0.15393
0.034408,0.48074,0.72064,0.026172,0.094008
0.045051,0.48243,0.71712,0.036559,0.06095
0.031956,0.48355,0.7222,0.030677,0.10021
0.048823,0.48355,0.72768,0.037039,0.10847
0.048706,0.48355,0.72233,0.043646,0.069215
